Neighbourhood Name,Neighbourhood Number,Descriptive Name,Description,Civic Ward,Planning District
ROSEDALE INDUSTRIAL,6650,Rosedale Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,papastew,Southeast
ROSENTHAL,4750,Rosenthal,,Nakota Isga,West Henday
ROSSDALE,1220,Rossdale,"One of Edmonton's oldest neighbourhoods, in 1802 Rossdale featured two fur trading forts and
was a key supply point during the Klondike Gold Rush. It was the original home of the exhibition grounds (moved in 1911), and the site of a brewery, ice house, lumber yard, power plant, and coal
mine. Today, much of the land here is devoted to recreational space, and the area features many homes between 50 and 75 years old. Over 85 percent of Rossdale households consist of one or
more adults without children.",O-day'min,Central
ROSSLYN,3390,Rosslyn,"Rosslyn, just to the northeast of the city centre, was developed during the 1950s and 60s. Rosslyn
features a high proportion of single family homes, as well as several senior citizens' residences. 
Commercial services include nearby Northwood and North Town Malls.  A large proportion of
Rosslyn's families consist of one or more adults without children.",Anirniq,Northwest
ROYAL GARDENS,5430,Royal Gardens,"Royal Gardens is a mature suburban neighbourhood developed during the 1960s. The area features four schools as well as a large recreation area which serves students from surrounding
neighbourhoods. A wide range of retail services can be found in nearby Greenfield and the popular Southgate and Heritage Malls are nearby.",papastew,Whitemud
RUNDLE HEIGHTS,2660,Rundle Heights,"While Rundle Heights was first settled in the 1880s and was annexed to the City in 1961,  most development did not occur until the 1970s. Named for the City's first Protestant missionary, it features Rundle Park, a popular and attractive educational and recreational space. A mix of single- and multi-unit dwellings house a high proportion of residents under the age of 20. Rundle Heights is served by businesses in Abbottsfield Mall and Sutter Hill Shopping Centre.",Métis,118 Avenue
RURAL NORTH EAST HORSE HILL,2670,Rural North East Horse Hill,This neighbourhood is rural in nature and primarily used for agricultural activities.,Dene,Horse Hills
RURAL NORTH EAST SOUTH STURGEON,2690,Rural North East South Sturgeon,This neighbourhood is rural in nature and primarily used for agricultural activities.,Dene,Horse Hills
RUTHERFORD,5454,Rutherford,Rutherford takes its name from Alexander Cameron Rutherford (1857-1941) who was the first premier of Alberta.  Creating an extensive pedestrian network throughout the neighbourhood was an important design principle.  The utility corridor that diagonally runs the length of the neighbourhood provides an important pedestrian spine which connects the various walkways to activity nodes throughout the community.  Virginia Park Woodland is dispersed to provide focal points throughout Rutherford and increase pedestrian connectivity. Prior to urban development Rutherford was a predominantly agricultural area with some country residential land use.,Ipiihkoohkanipiaohtsi,Southwest
SAKAW,6670,Sakaw,"One of the 27 Mill Woods neighbourhoods, Sakaw means ""wooded area"" in Cree. Most
residences in this quiet area are for single families, and construction of row
housing and apartment buildings is ongoing. Good roadways link the area to the City's commercial centres.  Local needs are met by Millhurst Shopping Centre and Mill Woods Town Centre.",Karhiio,Mill Woods and Meadows
SATOO,6680,Satoo,"Named for a Cree chief, the Mill Woods area was a Cree reserve between 1876-1891. Satoo is a quiet, attractive neighbourhood popular with young families. Nearly
80 percent of residences are single-family homes, and more than two thirds of households
include children. Residents enjoy access to a local shopping centre and proximity to Mill Woods Town Centre.",Karhiio,Mill Woods and Meadows
SCHONSEE,2700,Schonsee,"The name Schonsee is derived from the German word ""schon"", meaning beautiful, and ""see"" meaning lake.  The plan for the neighbourhood is to develop a primarily residential community with a variety of housing options.  The projected population is over 3,000 residents, and a student generation of just under 400 school-aged children.  A 1.8 hectare park is located north of the storm water lake, and a smaller hectare park is located on the northeast shore of the lake.  These amenities will provide residents with outdoor recreation space.",tastawiyiniwak,Northeast
SECORD,4487,Secord,"Secord is a neighbourhood in west Edmonton, Alberta, Canada that was established in 2007 through the adoption of the Secord Neighbourhood Structure Plan (NSP). Secord is located within Lewis Farms. It is bounded on the west by 231 Street, north by Stony Plain Road (Highway 16A), east by Winterburn Road and south by the future extension of Webber Greens Drive.",Nakota Isga,West Henday
SHEFFIELD INDUSTRIAL,4490,Sheffield Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
SHERBROOKE,3410,Sherbrooke,"Sherbrooke dates to the City's earliest land boom in 1906. Sherbrooke was one of the first in North
America to be designed using the ""neighbourhood"" concept, which discourages traffic and is
highlighted by attractive curving streets. In the 1950s, Sherbrooke was cited by the American Society
of Planning Officials as a model of good design. Two thirds of residences are single-family
homes and a high proportion of residents are older than 50 years.",Anirniq,Central
SHERWOOD,4500,Sherwood,"Annexed to the City in 1964, Sherwood was once part of the Town of Jasper Place. Sherwood was developed during the 1950s and features mostly single
family homes. Sherwood residents enjoy access to downtown, shopping facilities in the west
end and the many recreational areas of the river valley park system.",sipiwiyiniwak,Jasper Place
SIFTON PARK,2710,Sifton Park,Sifton Park was named after the Honourable Arthur R. Sifton the Premier of Alberta from 1910 to 1917.  First subdivided in 1912 it began to really develop in 1972 to 1979.  Sifton Park is bound by 3 major roadways.  An LRT terminal provides excellent access to commercial and employment areas.  Kennedale ravine provides residents with easy access to the river valley park system on the south. In addition the education centre is central and strategically placed trails and paths promote pedestrian and bike traffic throughout the neighbourhood.,Dene,Northeast
SILVER BERRY,6442,Silver Berry,Silver Berry,Sspomitapi,Mill Woods and Meadows
SKYRATTLER,5460,Skyrattler,"Skyrattler was Chief of the Winterburn band when Edmonton attained city status in 1904. With the exception of the 10.5 hectare site of the Baptist Seminary College, built starting in 1967, the area was undeveloped until the 1970s. Skyrattler is dominated by row housing (36%) and low-rise apartment (45%) accommodation. Much of this housing is in a picturesque, natural setting adjacent to Blackmud Creek Ravine.",Ipiihkoohkanipiaohtsi,Whitemud
SOUTH EDMONTON COMMON,6195,South Edmonton Common,This non-residential neighbourhood is largely commercial in nature.  Neighbourhood census data is not currently available.,Karhiio,Mill Woods and Meadows
SOUTH TERWILLEGAR,5642,South Terwillegar,,pihêsiwin,Whitemud
SOUTHEAST INDUSTRIAL,6690,Southeast Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Sspomitapi,Southeast
SPRUCE AVENUE,1230,Spruce Avenue,"Spruce Avenue's central location has attracted Kingsway Garden Mall, The Northern Alberta Institute of Technology and the Municipal Airport. The Glenrose Rehabilitation Hospital (the original Royal Alexandra) was one of Edmonton's largest until its replacement was built. Spruce Avenue's age-sex composition reveal a high proportion of individuals 70 years or older, probably due to an extended care facility in the neighbourhood. The neighbourhood takes its name from the former designation for 114 Avenue.",O-day'min,118 Avenue
STARLING,4474,Starling,,Nakota Isga,West Henday
STEINHAUER,5470,Steinhauer,"The neighbourhood is named for Henry Bird Steinhauer, a missionary who settled in Alberta during the mid-1800s (and from whom the family of the former Lieutenant Governor takes its name). Steinhauer is a newer suburban area developed during the 1970s, where single homes surround a cluster of row housing complexes. Residents enjoy proximity to Heritage and Southgate shopping centres. A large landscaped utility transmission corridor to the south bolsters Steinhauer's inventory of usable recreation space.",Ipiihkoohkanipiaohtsi,Whitemud
STEWART GREENS,4486,Stewart Greens,,Nakota Isga,West Henday
STILLWATER,4468,Stillwater,,sipiwiyiniwak,West Henday
STONE INDUSTRIAL,4510,Stone Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
STRATHCONA,5480,Strathcona,"Strathcona was named for Lord Strathcona, Hudson Bay Company Governor (1889-1914) and the man chosen to drive the ""last spike"" of the CPR transcontinental railway. The neighbourhood became part of Edmonton when the City of Strathcona amalgamated with Edmonton in 1912. Residents enjoy proximity to Old Strathcona, the University of Alberta, and outdoor recreation in the river valley.",papastew,Scona
STRATHCONA INDUSTRIAL PARK,6700,Strathcona Industrial Park,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Karhiio,Mill Woods and Meadows
STRATHCONA JUNCTION,5151,Strathcona Junction,,papastew,Scona
STRATHEARN,6710,Strathearn,"Two of the original landholders were J. McKernan, Edmonton's first telegraph operator, and W. Bird who built one of Edmonton's first water driven grain mills in Mill Creek. Donnell Road in Strathearn was named after another of the early landowners. A small part of the Strathearn area was annexed to the City of Strathcona and subdivided in 1907. Most of Strathearn remained undeveloped until the late 1940s and 1950s.",Métis,Southeast
SUDER GREENS,4730,Suder Greens,"Suder Greens is a newer residential neighbourhood in west Edmonton, Alberta, Canada.  Development of the neighbourhood is comparatively recent. The neighbourhood is bounded on the west by Winterburn Road and on the east by Anthony Henday Drive. It shares an irregular southern boundary with the neighbourhoods of Breckenridge Greens and Potter Greens. West Edmonton Mall is located a short distance to the east of the neighbourhood along 87 Avenue.",Nakota Isga,West Henday
SUMMERLEA,4520,Summerlea,"Summerlea is the site of West Edmonton Mall, one of Edmonton's major attractions and a focus of shopping and entertainment activities. The existing residential area is a mix of single detached and multifamily residences.  Named for a summertime meadow, Summerlea residents enjoy a large amount of parkland.",sipiwiyiniwak,West Edmonton
SUMMERSIDE,6213,Summerside,Summerside,Karhiio,Ellerslie
SUNWAPTA INDUSTRIAL,4530,Sunwapta Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
SWEET GRASS,5490,Sweet Grass,"The neighbourhood is named in honour of the Cree Indian Chief Sweet Grass who was one of the early west's first conservationists and instrumental in the protection of the Plains Bison. Sweet Grass has no commercial properties and few businesses, but a great variety of retail and service businesses are located at nearby Heritage and Southgate shopping centres. Recreational opportunities and parkland are located next to the elementary school..",Ipiihkoohkanipiaohtsi,Whitemud
TAMARACK,6443,Tamarack,,Sspomitapi,Mill Woods and Meadows
TAWA,6720,Tawa,"Tawa means ""you are welcome"" in the Cree language to honour Aboriginal leaders and history.  The Tawa neighbourhood represents the northern half of the Mill Woods Town Centre. Tawa¿s primary land use is institutional, and the Grey Nun¿s Hospital and a large school/park site fill out the centre of the neighbourhood.  Residential construction in Tawa began in the 1990s and continued into the early 2000s.",Karhiio,Mill Woods and Meadows
TERRA LOSA,4540,Terra Losa,"Terra Losa is named from Vittorio ""Victor"" Losa (1905-1987), an Italian-born watchmaker who came to Edmonton in the 1920s.  Residential construction began in the 1990s and continued into the 2000s. This neighbourhood features a large amount of commercial space, on the east and west borders.  The residential streets and homes within the interior of the neighbourhood are oriented around a central stormwater management lake and the Frank and Etta Wild Park. Terra Losa is unique in that the majority of the housing units are found in low-rise apartment buildings.",Nakota Isga,West Edmonton
TERRACE HEIGHTS,6730,Terrace Heights,"Terrace Heights is located on land identified by the first river lot and township surveys of the Edmonton Settlement as part of River Lots 31 and 33 and a quarter section of land held by D. McLeod. McLeod was a Hudson Bay Company employee, turned sawmill operator, who, in 1883, pioneered regular weekly stagecoach travel between Edmonton and Calgary. In effect, the Terrace Heights neighbourhood is two quiet single-unit residential areas separated by a high density residential and commercial corridor along 101 Avenue.",Métis,Southeast
TERWILLEGAR TOWNE,5640,Terwillegar Towne,"Terwillegar Towne was named in honour of Dr. Norman L. Terwillegar (1884-1948). Dr. Terwillegar was a pioneer, a surgeon, and a local property owner.  This was the first community in Edmonton to be planned and built upon a neo-traditional design model, and provides an example of New Urbanism-style development within the city. Roadways were constructed so as to encourage pedestrian usage.  Houses were situated closer to the street to encourage interaction among residents.",pihêsiwin,Whitemud
THE HAMPTONS,4461,The Hamptons,The Hamptons,sipiwiyiniwak,West Henday
THE ORCHARDS AT ELLERSLIE,6216,The Orchards At Ellerslie,,Karhiio,Ellerslie
THE UPLANDS,4464,The Uplands,,sipiwiyiniwak,West Henday
THORNCLIFF,4560,Thorncliff,"Thorncliffe is designed in an attempt to control urban sprawl and thereby preserve agricultural land, conserve energy and provide more efficient delivery of services. Multi-unit structures are located adjacent to the neighbourhood's collector road and account for over one-half of the neighbourhood's total dwelling units.  The schools and commercial facilities are central to the neighbourhood and are easily accessible to residents. The neighbourhood has a large proportion of young families.",sipiwiyiniwak,West Edmonton
TIPASKAN,6750,Tipaskan,"Tipaskan, a word meaning ""a reserve"" in the Cree language, recalls that the Mill Woods area was a Cree Indian reserve between 1876 and 1891. Developed in the 1970s and 1980s, 41% of  homes are single unit structures, 39% are row housing and 19% are low-rise apartments. Tipaskan has a very high proportion of children from 0 to 9 years of age. Eighty five percent of the neighbourhood population is under 40 years of age.",Karhiio,Mill Woods and Meadows
TRUMPETER AREA,4471,Trumpeter Area,,Nakota Isga,West Henday
TWEDDLE PLACE,6760,Tweddle Place,"Tweedle Place was named in honour of Malcolm Tweddle, a former City Commissioner. The focus of the neighbourhood is a multiple purpose school and recreational site. The mix of housing in Tweddle Place reflects a ""compact development"" philosophy of early development in Mill Woods: 50% of homes are single detached, 21% are in row housing and 26% in low rise apartments.",Karhiio,Mill Woods and Meadows
TWIN BROOKS,5511,Twin Brooks,Twin Brooks was named to reflect its geographic location between two creeks. The Twin Brooks area was annexed to the City of Edmonton in 1980.  Access to Blackmud and Whitemud Creek Ravines provides residents with excellent natural outdoor amenity space and represents a defining feature of the neighbourhood.  Residential construction within Twin Brooks began in the late 1980s.  Twin Brooks Drive creates small residential enclaves within the neighbourhood and reduces through-traffic.,Ipiihkoohkanipiaohtsi,Whitemud
UNIVERSITY OF ALBERTA,5520,University of Alberta,This multi-use neighbourhood is both residential and educational in nature.  The neighbourhood is home to the University of Alberta's main campus.,papastew,Scona
UNIVERSITY OF ALBERTA FARM,5530,University of Alberta Farm,"This non-residential, undeveloped neighbourhood, also known as The Edmonton Research Station, is part of the University of Alberta Campus system and home to some of the best agricultural research facilities in North America.",papastew,Scona
VIRGINIA PARK,1240,Virginia Park,"Virginia Park was one of many areas subdivided during the land boom prior to World War I - but it developed slowly, even though the Highlands streetcar line passed through the neighbourhood. Over 80% of all structures were built before 1950. The neighbourhood contains two prominent landmarks, Concordia College and Borden Park, and the river valley is accessible directly to the south.",Métis,118 Avenue
WALKER,6662,Walker,,Karhiio,Ellerslie
WEBBER GREENS,4740,Webber Greens,"Webber Greens is a new neighbourhood in west Edmonton, Alberta, Canada. It is bounded on the east by Anthony Henday Drive and on the west by Winterburn Road.",Nakota Isga,West Henday
WEDGEWOOD HEIGHTS,4570,Wedgewood Heights,"Most of the roads in Wedgewood Heights are named in honour of well-known Edmontonians. For example:  Three early pioneers, Dr. R.B. Wells, W.R. Wells and W.A. Wells all contributed to the growth and development of Edmonton. The Weber family founded the Weber Bros. Company. Other roads are named after Colonel Charles Yardley Weaver, a city lawyer and former alderman. An inconsistent development cycle may explain the unusual mixture of well landscaped acreages along Wedgewood Crescent and the often vacant standard size lots in the western part of the neighbourhood.",sipiwiyiniwak,West Edmonton
WEINLOS,6770,Weinlos,"Weinlos was named after Dr. Morris Weinlos (1902-1980) and Dr. Harry Weinlos (d. 1977) who were prominent surgeons and active members of local arts and humanitarian initiatives within Edmonton. Weinlos began to experience development in the 1970s but the bulk of development occurred through the 1980s.  The internal streets of Weinlos are arranged in a curvilinear pattern.  The neighbourhood does not contain any commercial land uses, but residents have good access to the Town Centre Mall situated directly west of Weinlos.",Sspomitapi,Mill Woods and Meadows
WEIR INDUSTRIAL,6780,Weir Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Métis,Southeast
WELLINGTON,3430,Wellington,Wellington was named after Arthur Wellesley (1769-1852) who was the first Duke of Wellington and led the British victory over Napoleon at the Battle of Waterloo Wellington is part of a large parcel of land that was annexed to Edmonton in 1913.  Wellington's design is based on a central school and park site that anchors the community. Interior streets are designed on a modified grid network to reduce shortcutting through the neighbourhood and provide residents with quiet local streets.,Anirniq,Northwest
WEST JASPER PLACE,4580,West Jasper Place,"During the 1930s, residents settled in the town of Jasper to escape the higher taxes of Edmonton.  The town was latter annexed to Edmonton in 1964.",Nakota Isga,Jasper Place
WEST MEADOWLARK PARK,4590,West Meadowlark Park,"West Meadowlark Park was originally part of the old town of Jasper Place which was annexed by Edmonton in 1964.  At the time of Jasper Place's incorporation in 1950, 170 Street formed the town's western limit and West Meadowlark Park was considered to be quite distant from the town centre and from Edmonton.  It was not until 1960s that the neighbourhood began to be developed.  Misericordia Hospital, two high schools, two elementary schools and Johnny Bright Sports Park serve residents of surrounding neighbourhoods",sipiwiyiniwak,Jasper Place
WEST SHEFFIELD INDUSTRIAL,4600,West Sheffield Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
WESTBROOK ESTATES,5540,Westbrook Estates,"Westbrook Estate was designed to appeal to individuals and families in search of a quiet, high quality residential environment with prestigious, architecturally designed homes on large lots. Westbrook Estate is bounded by Whitemud Creek Ravine on the west while a large portion of the centre and east is occupied by the Derrick golf and Winter Club (founded in 1959). The street pattern was designed to take advantage of these features with a majority of the lots backing onto either the ravine or the golf course.",papastew,Whitemud
WESTMOUNT,3440,Westmount,"Westmount likely takes its name from an affluent, predominantly Anglophone, city on the west island of Montreal.  The land was originally owned by Malcolm Groat and was annexed in two stages, in 1904 and 1910.  Development was spurred on by the extension of the electric Street car and its proximity to downtown.  In 1929 the community hall was moved by horse to 109A Avenue and 127 Street from outside the neighbourhood.  In 1921 they were one of the first to construct tennis courts and an outdoor rink.",O-day'min,Central
WESTRIDGE,4610,Westridge,Westridge is a long narrow neighbourhood extending into the North Saskatchewan River Valley. Patricia Ravine is to the north and Wolf Willow Ravine is to the south. A number of strategically placed pathways promote pedestrian travel through the neighbourhood.  Westridge Park and a community league are centrally located in the neighbourhood. The majority of the development in Westridge occurred during the 1970s.,sipiwiyiniwak,West Edmonton
WESTVIEW VILLAGE,4620,Westview Village,"The Westview Village area was formerly part of Parkland County, but was annexed to the City of Edmonton in 1982.  The neighbourhood has an active community league and a community hall facility is located along Winterburn road.  A stormwater management lake is located in the southeast corner of the neighbourhood which provides residents with some open space. Additionally, several smaller parks are interspersed through the community.",Nakota Isga,West Henday
WESTWOOD,1250,Westwood,"The character of Westwood has changed considerably in the second half of the 20th century. The area that includes Westwood was annexed by Edmonton in 1910. For several decades to follow, Westwood remained largely rural. Shortly after World War II, Westwood experienced large-scale residential development During the 1960s, the area attracted redevelopment and many houses south of 120 Avenue were replaced with walk-up apartments. This trend coincided with the opening of the Northern Alberta Institute of Technology (NAIT), immediately south of Westwood.",O-day'min,118 Avenue
WHITE INDUSTRIAL,4630,White Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
WHITEMUD CREEK RAVINE NORTH,5550,Whitemud Creek Ravine North,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,papastew,Whitemud
WHITEMUD CREEK RAVINE SOUTH,5560,Whitemud Creek Ravine South,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,papastew,Whitemud
WHITEMUD CREEK RAVINE TWIN BROOKS,5565,Whitemud Creek Ravine Twin Brooks,This non-residential neighbourhood forms part of Edmonton's North Saskatchewan River Valley and Ravine urban parkland system.  Neighbourhood census data is not currently available.,Ipiihkoohkanipiaohtsi,Whitemud
WILD ROSE,6790,Wild Rose,"Wild Rose is named for Alberta's official flower, Rosa acicularis (wild rose), which has been this province's official flower since the 1930s.   Mill Creek runs the length of the neighbourhood's southern border and provides a significant natural asset for Wild Rose residents.  Wild Rose features public access to Mill Creek and also incorporates a variety of other parks and open space corridors to provide excellent access to outdoor amenity space for residents.",Sspomitapi,Mill Woods and Meadows
WILSON INDUSTRIAL,4640,Wilson Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,Jasper Place
WINDERMERE,5570,Windermere,"Windermere likely comes from the words ""winder"", which means ""to take one's breath away"", and ""mere"", which refers to the boundary of an area or a significant landmark.  The Windermere Estates area was originally part of Strathcona County and was annexed to the City of Edmonton in 1982.  Edmonton's Windermere Estates, features large estate homes that overlook the city's the river valley which appropriately evokes the neighbourhood's characteristics in its name.  Once complete a series of parks, pathways and institutional facilities will be integrated strategically with residential development.",pihêsiwin,Southwest
WINDERMERE AREA,5575,Windermere Area,,pihêsiwin,Southwest
WINDSOR PARK,5580,Windsor Park,"In 1882, the area that is now Windsor Park was owned and farmed by Allan Omand. The Windsor Park subdivision was created in 1911, just prior to the amalgamation between Edmonton and Strathcona, during the land booms in the early part of the 20th century. Residents enjoy easy access to the Capital City Recreation Park system as well as spectacular views from vantage points along Saskatchewan Drive.",papastew,Scona
WINTERBURN INDUSTRIAL AREA EAST,4650,Winterburn Industrial Area East,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,West Henday
WINTERBURN INDUSTRIAL AREA WEST,4670,Winterburn Industrial Area West,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,Nakota Isga,West Henday
WOODCROFT,3450,Woodcroft,"Woodcroft contains Westmount Shopping Centre, a shopping centre built in 1955 which was the first of its kind built in Edmonton.  On the west side of the neighbourhood lies Coronation Park, one of Edmonton's most beautiful parks (featuring outdoor lawn bowling). Woodcroft also houses the extremely popular Edmonton Space and Sciences Centre. Other facilities in the community include an indoor ice arena and swimming pool, library, community league, and elementary, junior high, and senior high schools.",Anirniq,Central
YELLOWHEAD CORRIDOR EAST,1270,Yellowhead Corridor East,This non-residential neighbourhood is limited to Yellowhead Trail road infrastructure.  Neighbourhood census data is not currently available.,Métis,118 Avenue
YELLOWHEAD CORRIDOR WEST,1280,Yellowhead Corridor West,This non-residential neighbourhood is limited to Yellowhead Trail road infrastructure.  Neighbourhood census data is not currently available.,Anirniq,118 Avenue
YORK,2720,York,"York is somewhat of a 'pioneer' neighbourhood. In 1967 row housing units 
in Edmonton's first condominium complex were offered for sale in the neighbourhood. During the population boom of the 1960s, developers could not build single homes fast enough to meet demand, and concerns about urban sprawl were paramount. The inclusion of condominiums may have been an experiment, but it was a cautious one -- the single detached house still dominates.",Dene,Northeast
YOUNGSTOWN INDUSTRIAL,4660,Youngstown Industrial,"Mostly Industrial, River Valley Parkland or completley non residential in nature.  Neighbourhood Census Data is not available at this time.",Nakota Isga,Jasper Place
